"identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se ha compartido","Visitas al perfil",Respuestas,Navegación,"Clics en el enlace","Toques en stickers",Seguidores
18110426284733016,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/04/2026 06:02",https://www.instagram.com/stories/360radioco/3825152640381010691,"Historia de Instagram",,Total,675,561,2,0,3,0,581,14,,1
18101244808896514,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/03/2026 09:12",https://www.instagram.com/stories/360radioco/3824523340355122675,"Historia de Instagram",,Total,931,820,4,0,23,0,837,,,2
18427767913189123,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/27/2026 09:20",https://www.instagram.com/stories/360radioco/3841922104619358118,"Historia de Instagram",,Total,231,206,1,0,1,0,215,1,,
18002055026719979,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/27/2026 09:13",https://www.instagram.com/stories/360radioco/3841918770256729653,"Historia de Instagram",,Total,261,217,2,0,1,0,234,,,
18069583976535538,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/27/2026 09:12",https://www.instagram.com/stories/360radioco/3841918081702977426,"Historia de Instagram",,Total,281,226,1,0,,0,238,2,,
18070196369553258,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/27/2026 09:10",https://www.instagram.com/stories/360radioco/3841917349620792192,"Historia de Instagram",,Total,288,238,2,0,,0,254,1,,
18087277781141060,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/27/2026 09:09",https://www.instagram.com/stories/360radioco/3841916821230731875,"Historia de Instagram",,Total,334,275,3,0,3,0,280,2,,
18108718090707083,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/26/2026 06:57",https://www.instagram.com/stories/360radioco/3841125515315299888,"Historia de Instagram",,Total,239,225,0,0,1,0,223,1,,
18079486685459864,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/26/2026 06:56",https://www.instagram.com/stories/360radioco/3841124875558119408,"Historia de Instagram",,Total,264,245,0,0,,0,241,,,
18321735523188862,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/26/2026 06:55",https://www.instagram.com/stories/360radioco/3841124490671976973,"Historia de Instagram",,Total,285,254,2,0,,0,250,,,
18081428795202474,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/26/2026 06:54",https://www.instagram.com/stories/360radioco/3841124126841306520,"Historia de Instagram",,Total,308,268,0,0,2,0,267,1,,
18127810477546745,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/26/2026 06:54",https://www.instagram.com/stories/360radioco/3841123963338883573,"Historia de Instagram",,Total,371,327,2,0,8,4,311,1,,
18111611686589292,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/25/2026 07:19",https://www.instagram.com/stories/360radioco/3840411616127353529,"Historia de Instagram",,Total,293,253,4,0,4,0,258,1,,
18072426161157960,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/25/2026 07:18",https://www.instagram.com/stories/360radioco/3840411224664582925,"Historia de Instagram",,Total,311,262,3,0,,0,294,,,
18059285024370509,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/25/2026 07:17",https://www.instagram.com/stories/360radioco/3840410720911900088,"Historia de Instagram",,Total,349,278,5,0,,0,322,3,,
17878381425480706,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/25/2026 07:16",https://www.instagram.com/stories/360radioco/3840410306422397986,"Historia de Instagram",,Total,406,335,4,0,5,0,333,,,
17853197301672613,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/24/2026 20:36",https://www.instagram.com/stories/360radioco/3840088038156714756,"Historia de Instagram",,Total,793,650,6,2,1,0,284,,,
18094904827814729,17841401871496039,360radioco,"360 Radio Colombia",@acggp_energia,49,"02/24/2026 12:47",https://www.instagram.com/stories/360radioco/3839852323724674453,"Historia de Instagram",,Total,683,515,3,1,,0,218,,,
18085073579226958,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/24/2026 12:34",https://www.instagram.com/stories/360radioco/3839845305320323815,"Historia de Instagram",,Total,225,203,2,0,,0,221,2,,
18049510187711570,17841401871496039,360radioco,"360 Radio Colombia",,0,"02/24/2026 12:33",https://www.instagram.com/stories/360radioco/3839844722186197108,"Historia de Instagram",,Total,239,213,2,0,2,0,227,1,,
