identificador de la publicación,Identificador de la cuenta,Nombre de usuario de la cuenta,Nombre de la cuenta,Descripción,Duración (segundos),Hora de publicación,Enlace permanente,Tipo de publicación,Comentario sobre los datos,Fecha,Visualizaciones,Alcance,Me gusta,Veces que se ha compartido,Visitas al perfil,Respuestas,Clics en el enlace,Navegación,Toques en stickers,Seguidores
18080810279524257,17841401871496039,360radioco,360 Radio Colombia,,0,03/05/2026 09:48,https://www.instagram.com/stories/360radioco/3846284922013519884,Historia de Instagram,,Total,131,120,2,0,,0,,125,,
18059655782409755,17841401871496039,360radioco,360 Radio Colombia,,49,03/29/2026 19:28,https://www.instagram.com/stories/360radioco/3863941491328954317,Historia de Instagram,,Total,162,147,3,0,,0,,150,,
18117394291725675,17841401871496039,360radioco,360 Radio Colombia,,0,03/29/2026 19:27,https://www.instagram.com/stories/360radioco/3863940981981073033,Historia de Instagram,,Total,162,148,1,0,,0,3.0,156,,
18449798104119523,17841401871496039,360radioco,360 Radio Colombia,,60,03/29/2026 19:25,https://www.instagram.com/stories/360radioco/3863939956188533849,Historia de Instagram,,Total,171,149,2,0,,0,,162,,
18086303246605983,17841401871496039,360radioco,360 Radio Colombia,,0,03/29/2026 19:25,https://www.instagram.com/stories/360radioco/3863939813305400148,Historia de Instagram,,Total,181,158,2,0,,0,1.0,166,,
18107419129853771,17841401871496039,360radioco,360 Radio Colombia,,60,03/29/2026 19:25,https://www.instagram.com/stories/360radioco/3863939649693945468,Historia de Instagram,,Total,183,164,3,0,,0,,172,,
18064993412690474,17841401871496039,360radioco,360 Radio Colombia,,0,03/29/2026 19:24,https://www.instagram.com/stories/360radioco/3863939376930017222,Historia de Instagram,,Total,223,194,2,0,,0,,190,,
17995426949924640,17841401871496039,360radioco,360 Radio Colombia,,31,03/29/2026 11:04,https://www.instagram.com/stories/360radioco/3863687780170126868,Historia de Instagram,,Total,199,174,2,0,1.0,0,,187,,
17965843431027150,17841401871496039,360radioco,360 Radio Colombia,,0,03/29/2026 11:04,https://www.instagram.com/stories/360radioco/3863687636028676729,Historia de Instagram,,Total,200,178,5,0,,0,,178,,
17876376489556318,17841401871496039,360radioco,360 Radio Colombia,,13,03/29/2026 11:04,https://www.instagram.com/stories/360radioco/3863687470991153708,Historia de Instagram,,Total,215,192,3,0,,0,,188,,
17973248514001096,17841401871496039,360radioco,360 Radio Colombia,,0,03/29/2026 11:03,https://www.instagram.com/stories/360radioco/3863687198940247268,Historia de Instagram,,Total,269,235,2,0,5.0,0,,241,,
18096347930101745,17841401871496039,360radioco,360 Radio Colombia,,0,03/26/2026 05:14,https://www.instagram.com/stories/360radioco/3861337177913720360,Historia de Instagram,,Total,272,237,2,0,,0,1.0,235,,
18079514192106235,17841401871496039,360radioco,360 Radio Colombia,,60,03/26/2026 05:14,https://www.instagram.com/stories/360radioco/3861336890218048906,Historia de Instagram,,Total,308,273,9,0,,1,,293,,
17960565212915859,17841401871496039,360radioco,360 Radio Colombia,,0,03/25/2026 18:46,https://www.instagram.com/stories/360radioco/3861020956659967102,Historia de Instagram,,Total,191,163,4,0,,0,4.0,167,,
18003103640856215,17841401871496039,360radioco,360 Radio Colombia,,60,03/25/2026 18:44,https://www.instagram.com/stories/360radioco/3861020027881702875,Historia de Instagram,,Total,199,175,5,0,2.0,1,,181,,
18014877074673089,17841401871496039,360radioco,360 Radio Colombia,,0,03/25/2026 18:08,https://www.instagram.com/stories/360radioco/3861002026667145555,Historia de Instagram,,Total,182,153,2,0,,0,2.0,170,,
17948663214136137,17841401871496039,360radioco,360 Radio Colombia,,15,03/25/2026 17:56,https://www.instagram.com/stories/360radioco/3860995948516656323,Historia de Instagram,,Total,191,157,6,0,2.0,0,,173,,
18043848080530383,17841401871496039,360radioco,360 Radio Colombia,,0,03/25/2026 17:50,https://www.instagram.com/stories/360radioco/3860992738187992793,Historia de Instagram,,Total,189,158,3,0,,0,,170,,
18039769799559412,17841401871496039,360radioco,360 Radio Colombia,,60,03/25/2026 17:48,https://www.instagram.com/stories/360radioco/3860991786466817753,Historia de Instagram,,Total,185,163,5,0,,0,,166,,1.0
18084122933346546,17841401871496039,360radioco,360 Radio Colombia,,0,03/25/2026 17:36,https://www.instagram.com/stories/360radioco/3860985810196015933,Historia de Instagram,,Total,188,168,4,0,,0,2.0,171,,
18345219472243217,17841401871496039,360radioco,360 Radio Colombia,,60,03/25/2026 17:31,https://www.instagram.com/stories/360radioco/3860983105222221188,Historia de Instagram,,Total,183,166,6,0,,0,,170,,
18096138371084983,17841401871496039,360radioco,360 Radio Colombia,,0,03/25/2026 17:15,https://www.instagram.com/stories/360radioco/3860974996491772282,Historia de Instagram,,Total,187,161,6,0,,0,,163,,
