Date;Impressions;Clicks;CTR;CPM;Income
24.03.2026;44;0;0;2.05;0.09
25.03.2026;29;0;0;2.07;0.06
26.03.2026;19;0;0;2.11;0.04
21.03.2026;19;0;0;2.11;0.04
19.03.2026;19;0;0;2.11;0.04
30.03.2026;14;0;0;2.14;0.03
23.03.2026;14;0;0;2.14;0.03
22.03.2026;15;0;0;2;0.03
31.03.2026;9;0;0;2.22;0.02
27.03.2026;9;0;0;2.22;0.02
17.03.2026;9;0;0;2.22;0.02
01.04.2026;4;0;0;2.5;0.01
29.03.2026;4;0;0;2.5;0.01
28.03.2026;4;0;0;2.5;0.01
20.03.2026;4;0;0;2.5;0.01
18.03.2026;1,699;1;0.06;0;0
16.03.2026;60;0;0;0;0
Total;1,975;1;0.05;0.23;0.46
