Date;Impressions;Clicks;CTR;CPM;Income
28.04.2026;94;0;0;2.02;0.19
27.04.2026;94;0;0;2.02;0.19
24.04.2026;75;0;0;2;0.15
29.04.2026;50;0;0;2;0.1
24.03.2026;44;0;0;2.05;0.09
30.04.2026;30;0;0;2;0.06
25.03.2026;29;0;0;2.07;0.06
04.05.2026;25;0;0;2;0.05
02.05.2026;25;0;0;2;0.05
23.04.2026;19;0;0;2.11;0.04
26.03.2026;19;0;0;2.11;0.04
21.03.2026;19;0;0;2.11;0.04
19.03.2026;19;0;0;2.11;0.04
05.05.2026;15;0;0;2;0.03
03.05.2026;15;0;0;2;0.03
01.05.2026;14;0;0;2.14;0.03
25.04.2026;15;0;0;2;0.03
22.04.2026;15;0;0;2;0.03
18.04.2026;15;0;0;2;0.03
17.04.2026;15;0;0;2;0.03
16.04.2026;14;0;0;2.14;0.03
07.04.2026;14;0;0;2.14;0.03
01.04.2026;14;0;0;2.14;0.03
30.03.2026;14;0;0;2.14;0.03
23.03.2026;14;0;0;2.14;0.03
22.03.2026;15;0;0;2;0.03
26.04.2026;10;0;0;2;0.02
21.04.2026;10;0;0;2;0.02
19.04.2026;10;0;0;2;0.02
13.04.2026;10;0;0;2;0.02
08.04.2026;10;0;0;2;0.02
02.04.2026;10;0;0;2;0.02
31.03.2026;9;0;0;2.22;0.02
27.03.2026;9;0;0;2.22;0.02
17.03.2026;9;0;0;2.22;0.02
06.05.2026;4;0;0;2.5;0.01
20.04.2026;5;0;0;2;0.01
15.04.2026;5;0;0;2;0.01
14.04.2026;5;0;0;2;0.01
12.04.2026;5;0;0;2;0.01
11.04.2026;5;0;0;2;0.01
10.04.2026;5;0;0;2;0.01
06.04.2026;5;0;0;2;0.01
04.04.2026;5;0;0;2;0.01
03.04.2026;5;0;0;2;0.01
29.03.2026;4;0;0;2.5;0.01
28.03.2026;4;0;0;2.5;0.01
20.03.2026;4;0;0;2.5;0.01
09.04.2026;260;0;0;0;0
18.03.2026;1,699;1;0.06;0;0
Total;2,936;1;0.03;0.61;1.8
